Title;Citation;Filename;Cohort;Gait Task;Dual-layer cap;Type of EEG electrodes;Gait measurement system;Flow of preprocessing steps;corrected_keywords_VV;Artifactrej_methods
Neural Correlates of Single-and Dual-Task Walking in the Real World;Pizzamiglio, S., et al., 2017;PMC5603763.pdf;Healthy adults;Overground walking;No;Active electrodes;"Force-based;IMU";"1. Band-pass filtering between 0.5 Hz and 100 Hz to minimize slow drifts and remove high-frequency components.
2. Notch filtering at 50 Hz to remove power line noise.
3. Visual inspection to identify and temporarily remove channels with major noise sources.
4. Removal of prominent artifacts affecting all recording channels.
5. Re-referencing to the common average reference.
6. Decomposition using Independent Component Analysis (ICA).
7. Removal of components representing typical artifacts.
8. Projection of remaining components back to scalp channels and interpolation of previously removed channels.
9. Re-referencing again to the common average reference.
10. Segmentation into epochs around heel strikes.
11. Final visual inspection to check data quality and remove noisy epochs.";['raw_data', 'bandpass_filter', 'notch_filter', 'bad_channel_detection', 'artifact_rejection', 're_reference', 'IC_decomposition', 'IC_rejection', 'artifact_rejection', 're_reference', 'epoching'];manual_selection, bad_channel_removal, bad_channel_interpolation, epoch_rejection
A Channel Rejection Method for Attenuating Motion-Related Artifacts in EEG Recordings during Walking;Delorme, A., et al., 2017;PMC5405125.pdf;Healthy adults;Treadmill walking;No;Active electrodes;Force-based;"1. High-pass filtering (1 Hz) and line noise removal using Cleanline.
2. Identification of gait events (heel strike and toe-off).
3. Initial channel rejection method 1: removal of channels based on magnitude, kurtosis, correlation, and standard deviation.
4. Template Correlation Rejection (TCR) method: creation of templates and correlation analysis to identify channels with motion-related artifacts.
5. Application of Independent Component Analysis (ICA) to parse EEG signals.
6. Rejection of bad components identified by TCR.
7. Generation of ERP images.";['raw_data', 'highpass_filter', 'notch_filter', 'artifact_rejection','IC_decomposition', 'IC_rejection'];template_correlation
Neural predictors of gait stability when walking freely in the real-world;Pizzamiglio, S., et al., 2018;PMC5830090.pdf;Healthy adults;Overground walking;No;Active electrodes;"Force-based;IMU";"1. Band-pass filtering between 0.5 Hz and 100 Hz to minimize slow drifts and remove high-frequency components.
2. Notch filtering at 50 Hz to remove power line noise.
3. Visual inspection to identify and temporarily discard noisy channels and permanently remove data with prominent artifacts.
4. Re-referencing to the common average reference.
5. Decomposition using Independent Component Analysis (ICA) with the extended Infomax algorithm.
6. Removal of components representing typical artifacts and projection of remaining components back to the scalp.
7. Interpolation of previously removed bad channels and re-referencing to the common average reference.
8. Segmentation into epochs of 1.8 s duration around each right heel strike.
9. Final visual inspection to check the quality of the cleaned data and remove still noisy epochs.";['raw_data', 'bandpass_filter', 'notch_filter', 'bad_channel_detection', 'artifact_rejection', 're_reference', 'IC_decomposition', 'IC_rejection','artifact_rejection', 're_reference', 'epoching'];manual_selection, bad_channel_removal, eye_artifact_correction, bad_channel_interpolation, epoch_rejection
Is Cortical Activation During Walking Different Between Parkinson's Disease Motor Subtypes?;Orcioli-Silva, D., et al., 2020;PMID_32674140.pdf;People with Parkinson's disease;Overground walking;No;Passive electrodes;Force-based;"1. EEG data recorded using a 32-channel system with a sampling rate of 500 Hz.
2. Data processed using EEGLAB 13.0.1b in Matlab.
3. Synchronization with accelerometer data to estimate gait cycle events.
4. Segmentation into gait cycles (epochs).
5. Band-pass filtering (1-100 Hz) and line noise removal (60 Hz).
6. Artifact rejection based on channel magnitude, kurtosis, and standard deviation.
7. Independent component analysis (RUNICA) to remove eye blinks and muscle artifacts.
8. Removal of epochs with visible motion artifacts by visual inspection.";['raw_data', 'epoching', 'bandpass_filter', 'notch_filter','artifact_rejection', 'IC_decomposition', 'IC_rejection', 'artifact_rejection'];bad_channel_removal, epoch_rejection
Stepping in time: Alpha -mu and beta oscillations during a walking synchronization task;Scanlon, J. E. M., et al., 2022;PMID_35301131.pdf;Healthy adults;Overground walking;No;"Active electrodes; Passive electrodes";IMU;"1. Filter EEG data with a high-pass filter of 1 Hz and a low-pass filter of 120 Hz, then resample to 250 Hz.
2. Remove bad channels using the clean_rawdata function.
3. Re-reference data to the common average of all channels.
4. Clean data using artifact subspace reconstruction (ASR).
5. Epoch data into 1-s segments and remove epochs with artifacts.
6. Perform independent component analysis (ICA).
7. Remove components not classified as brain activity using ICLabel.
8. Back-project accepted components into continuous datasets and filter with a high-pass filter of 0.3 Hz and a low-pass filter of 40 Hz.
9. Baseline correct epochs.";['raw_data', 'highpass_filter', 'lowpass_filter', 'downsample', 'artifact_rejection', 're_reference', 'artifact_rejection', 'epoching', 'artifact_rejection', 'IC_decomposition', 'IC_rejection', 'highpass_filter', 'lowpass_filter','epoching', 'baseline_correction','artifact_rejection'];clean_rawdata, ASR, epoch_rejection
Mobile EEG reveals functionally dissociable dynamic processes supporting real-world ambulatory obstacle avoidance: Evidence for early proactive control;Mustile, M., et al., 2021;PMID_33465827.pdf;Healthy adults;Overground walking;No;Passive electrodes;Force-based;"1. EEG data recorded from 32 Ag/AgCl electrodes.
2. Electrodes positioned according to the International 10-20 system.
3. Data sampled at 500 Hz and bandpass filtered at 0.01-250 Hz.
4. Data analyzed using MATLAB and EEGLAB toolbox.
5. Mastoid channels (M1 and M2) removed.
6. Remaining data filtered using a 0.1 to 40 Hz bandpass filter.
7. Channels with prominent artifacts automatically selected and interpolated.
8. All channels re-referenced to the average.
9. Extended infomax Independent Component Analysis (ICA) performed.
10. Artifact ICs selected using SASICA, ADJUST, and MARA plugins.
11. Non-artifactual ICs retained for analysis.
12. Data segmented into epochs relative to the obstacle crossing event.";['raw_data','bandpass_filter', 'channel_removal', 'bandpass_filter', 'bad_channel_detection', 'artifact_rejection', 're_reference', 'IC_decomposition', 'IC_rejection'];automated_rejection, manual_selection, bad_channel_interpolation
Recalibration of Inhibitory Control Systems during Walking-Related Dual-Task Interference: A Mobile Brain-Body Imaging (MOBI) Study;De Sanctis, P., et al., 2015;PMC4209901.pdf;Healthy adults;Treadmill walking;No;Active electrodes;Force-based;"1. Initial bandpass filtering from 0.05 to 100Hz during recording.
2. Re-referencing to an average reference offline.
3. Bandpass filtering from 0.5 to 30Hz offline.
4. Automatic artifact rejection criterion of ±100 μV.
5. Rejection of trials with more than six artifact channels.
6. Interpolation of remaining bad channels using a nearest neighbor spline.
7. Epoching of 1050ms with a 50ms pre-stimulus baseline.";['raw_data', 're_reference', 'bandpass_filter', 'artifact_rejection', 'epoching'];automated_rejection, epoch_rejection, bad_channel_interpolation
Does the electrode amplification style matter? A comparison of active and passive EEG system configurations during standing and walking;Scanlon, J., et al., 2020;PMID_33185920.pdf;Healthy adults;Overground walking;No;"Active electrodes; Passive electrodes";IMU;"1. Filtered with a high-pass filter (HPF) of 1 Hz and low-pass filter (LPF) of 40 Hz, then resampled to 250 Hz.
2. Removed bad channels using clean_rawdata.
3. Epoched into 1-s segments and removed epochs with artifacts.
4. Applied extended infomax independent component analysis (ICA) and removed eye-related and heart-related components.
5. Filtered again with an HPF of 0.3 Hz and an LPF of 40 Hz.
6. Interpolated removed bad channels and re-referenced to an average of TP9 and TP10.
7. Epoched to oddball events and baseline corrected.
8. Removed remaining artifacts with channel and global thresholds of 3 standard deviations.";['raw_data', 'highpass_filter', 'lowpass_filter', 'downsample', 'artifact_rejection', 'IC_decomposition', 'IC_rejection', 'highpass_filter', 'lowpass_filter', 'artifact_rejection', 're_reference', 'epoching', 'baseline_correction', 'artifact_rejection'];clean_artifacts, clean_rawdata, bad_channel_removal, bad_channel_interpolation
The neural response is heightened when watching a person approaching compared to walking away: Evidence for dynamic social neuroscience;Mustile, M., et al., 2022;PMID_36007672.pdf;Healthy adults;Overground walking;No;Passive electrodes;Force-based;"1. Removal of mastoid channels (M1 and M2)
2. Bandpass filtering (0.1 Hz-40 Hz)
3. Artifact rejection and interpolation (kurtosis >5 SDs)
4. Re-referencing to the average
5. Downsampling to 250 Hz
6. Extended infomax Independent Component Analysis (ICA)
7. Identification and rejection of non-brain ICs using IClabel plugin
8. Retention of brain ICs with dipoles inside the head and residual variance <15%";['raw_data', 'channel_removal', 'bandpass_filter', 'artifact_rejection', 're_reference', 'downsample', 'IC_decomposition', 'IC_rejection'];bad_channel_interpolation, automated_rejection
Hybrid Human-Machine Interface for Gait Decoding Through Bayesian Fusion of EEG and EMG Classifiers;Tortora, S., et al., 2020;PMC7705173.pdf;Healthy adults;Treadmill walking;No;Active electrodes;"Force-based;EMG";"1. High-pass filtering above 1 Hz and low-pass filtering below 98 Hz.
2. Removal of power line interference with a comb notch filter at 50 Hz.
3. Rejection of corrupted EEG channels and epochs containing high-amplitude artifacts.
4. Application of a Common Average Reference (CAR) filter.
5. High-pass filtering above 1.5 Hz and low-pass filtering below 48 Hz.
6. Resampling to 512 Hz.
7. Removal of non-stereotypical artifacts using Artifacts Subspace Reconstruction (ASR).
8. Decomposition into independent components using Reliable Independent Component Analysis (RELICA).
9. Rejection of stereotypical artifacts.
10. Segmentation into windows with a rectangular time window of 50 ms and 80% overlap.
11. Application of a CAR filter to each window.
12. Extraction of the δ-θ band (1-8 Hz) using a 4th-order zerolag Butterworth filter.
13. Normalization to have zero mean and unit standard deviation.
14. Obtaining a single feature per channel by taking the block average of the processed EEG signals.";['raw_data', 'highpass_filter', 'lowpass_filter', 'notch_filter', 'artifact_rejection', 're_reference', 'highpass_filter', 'lowpass_filter', 'downsample', 'artifact_rejection', 'IC_decomposition', 'IC_rejection', 're_reference', 'normalization'];manual_selection, artifact_rejection, ASR
Negligible Motion Artifacts in Scalp Electroencephalography (EEG) During Treadmill Walking;Nathan, K., et al., 2016;PMC4710850.pdf;Healthy adults;Treadmill walking;No;Active electrodes;"Force-based;IMU";"1. Online referencing of EEG data to channel FCZ.
2. Application of low-pass analog filters set from DC-1000 Hz.
3. Digitization of EEG signals at 1 kHz.
4. Manual rejection of gait cycles based on visual inspection for obvious eye or muscle artifacts.
5. Application of Artifact Subspace Reconstruction (ASR) with a sliding window length of 500 ms and a threshold of three standard deviations.";['raw_data', 're_reference', 'lowpass_filter', 'artifact_rejection'];ASR
A walk in the park? Characterizing gait-related artifacts in mobile EEG recordings;Jacobsen, N.S.J., et al., 2020;PMID_32909315.pdf;Healthy adults;Overground walking;No;Passive electrodes;"IMU;OMC";"1. High-pass filter at 1 Hz and low-pass filter at 135 Hz.
2. Downsample to 250 Hz.
3. Identify and remove bad channels using clean_rawdata toolbox.
4. Re-reference data to the common average.
5. Apply ASR algorithm.
6. Concatenate walking and standing conditions.
7. Reject epochs with high joint probability for ICA.
8. Perform AMICA on remaining data.
9. Interpolate rejected channels and fit dipoles using DIPFIT.
10. Reject components likely to be artifacts.
11. Back-project remaining components to sensor space.";['raw_data', 'highpass_filter', 'lowpass_filter', 'downsample', 'artifact_rejection', 're_reference', 'artifact_rejection', 'IC_decomposition', 'artifact_rejection', 'dipole_fitting', 'IC_rejection'];clean_rawdata, ASR, bad_channel_interpolation
Effects of theta burst stimulation on the Parkinsonian gait disorder and cortical gait-network activity;Dutke, J., et al., 2025;PMID_40383539.pdf;Healthy adults and People with Parkinson's disease;Overground walking;No;Active electrodes;IMU;"1. EEG signals were recorded with a sampling rate of 500 Hz and impedances <10 kOhm.
2. EEG data were referenced to average.
3. High-pass filtered (Kaiser-windowed FIR filter with a cutoff frequency of 0.75 Hz, bandwidth 0.5 Hz, stopband attenuation -80 dB) to reduce slow drifts.
4. Low-pass filtered (Kaiser-windowed FIR filter with a cutoff frequency at 95 Hz, bandwidth 10 Hz, stoppband attenuation -80 dB) to eliminate high-frequency DBS artifacts.
5. DBSFilt toolbox was applied to eliminate artifacts in harmonics and subharmonics of the stimulation frequency.
6. Line noise artifacts of 50 Hz were reduced by the Cleanline plugin for EEGLAB.
7. The Clean Rawdata plugin for EEGLAB removed flat line channels and reconstructed shortlasting irregular artifacts as, e.g., muscle artifacts by artifact subspace reconstruction (ASR).
8. Data portions with a variance larger than 12 SD relative to calibration data were removed, validated by visual inspection.
9. Adaptive mixture of independent component analysis (AMICA) was applied and components representing more than 85% muscle, heart or eye artifacts as well as channel or line noise, classified by ICLabel were removed.
10. DIPFIT plugin for EEGLAB by Robert Oostenveld was used to remove components with dipoles located outside the head and components with residual variance over 20%.";['raw_data', 're_reference', 'highpass_filter', 'lowpass_filter', 'artifact_rejection', 'notch_filter', 'artifact_rejection', 'IC_decomposition', 'IC_rejection', 'dipole_fitting'];ASR, DBSFilttoolbox, clean_rawdata, manual_selection
Mobile electroencephalography captures differences of walking over even and uneven terrain but not of single and dual-task gait;Jacobsen, N.S.J., et al., 2022;PMC9582531.pdf;Healthy adults;Overground walking;No;Passive electrodes;"IMU;OMC";"1. Downsample data to 250 Hz.
2. Filter data between 0.2 Hz and 60 Hz.
3. Reject channels based on flatline, correlation, and line noise criteria.
4. Apply artifact subspace reconstruction with a standing baseline.
5. Correct line noise using zapline plus tool.
6. Perform spherical interpolation of rejected channels.
7. Re-reference data to full rank common average.
8. High-pass filter data at 1 Hz for ICA.
9. Extract and clean epochs based on amplitude thresholds.
10. Perform ICA decomposition using AMICA.
11. Reject components likely representing eye movements.
12. Back-project weights to original dataset.";['raw_data', 'downsample', 'lowpass_filter', 'highpass_filter', 'artifact_rejection', 'notch_filter', 'artifact_rejection', 're_reference', 'highpass_filter', 'artifact_rejection', 'IC_decomposition', 'IC_rejection'];clean_rawdata, ASR, PCA, epoch_rejection
The aging brain shows less flexible reallocation of cognitive resources during dual-task walking: a mobile brain/body imaging (MoBI) study;Malcolm, B. R., et al., 2016;PMC5080979.pdf;Healthy adults;Treadmill walking;No;Active electrodes;Force-based;"1. Initial bandpass filtering from 0.05 to 100 Hz during recording.
2. Offline processing using custom MATLAB scripts, EEGLAB, and FieldTrip toolbox.
3. Bandpass filtering from 1 to 30 Hz to remove low frequency drift and high frequency noise.
4. Artifact rejection using a criterion of ±75 µV.
5. Exclusion of trials with more than 6 bad channels.
6. Interpolation of electrode data using a nearest neighbor spline correction for trials with fewer bad channels.
7. Re-referencing to an average reference.
8. Epoching for successful response trials (Hit and Correct Rejection trials).
9. Exclusion of incorrect trials.";['raw_data', 'bandpass_filter', 'artifact_rejection', 're_reference', 'epoching'];bad_channel_removal, bad_channel_interpolation
Paradoxical improvement of cognitive control in older adults under dual-task walking conditions is associated with more flexible reallocation of neural resources: A Mobile Brain-Body Imaging (MoBI) study;Patelaki, E., et al., 2023;PMID_37037381.pdf;Healthy adults;Treadmill walking;No;Active electrodes;OMC;"1. Filter EEG signals using a zero-phase Chebyshev Type II filter.
2. Down-sample EEG data from 2048 Hz to 512 Hz.
3. Identify and remove 'bad' electrodes based on kurtosis, probability, and spectrum criteria.
4. Interpolate removed electrodes using spherical interpolation.
5. Re-reference all electrodes to a common average reference.
6. High-pass filter data at 1-2 Hz for ICA.
7. Perform ICA using Infomax ICA on 1-45 Hz bandpass-filtered data.
8. Apply ICA decomposition matrices to 0.01-45 Hz bandpass-filtered data.
9. Identify and remove artifact ICs using ICLabel algorithm.
10. Back-project remaining ICs to sensor space.
11. Split processed EEG activity into temporal epochs.";['raw_data', 'bandpass_filter', 'bad_channel_detection','artifact_rejection', 're_reference','bandpass_filter', 'IC_decomposition', 'IC_rejection', 'epoching'];bad_channel_removal, bad_channel_interpolation
Electrocortical Dynamics of Usual Walking and the Planning to Step over Obstacles in Parkinson's Disease;Vitório, R., et al., 2023;PMC10224292.pdf;Healthy adults and People with Parkinson's disease;Overground walking;No;Active electrodes;Force-based;"1. Merge individual EEG datasets into a single dataset for each participant.
2. Down-sample from 1024 Hz to 512 Hz.
3. Apply band-pass filter (2-50 Hz).
4. Remove channels with substantial artifacts.
5. Re-reference remaining channels to an average reference.
6. Remove sectors with exacerbated artifacts.
7. Apply Independent Component Analysis (ICA).
8. Identify and remove artifact components using ADJUST.
9. Model independent components as current dipoles using DIPFIT.
10. Remove components that are artifactual or do not meet criteria.
11. Cluster remaining components using k-means algorithm.";['raw_data', 'downsample', 'bandpass_filter', 'artifact_rejection', 're_reference', 'artifact_rejection', 'IC_decomposition', 'IC_rejection', 'dipole_fitting', 'clustering'];bad_channel_removal, automated_rejection
Combined Subthalamic and Nigral Stimulation Modulates Temporal Gait Coordination and Cortical Gait-Network Activity in Parkinson's Disease;Wagner, J. R., et al., 2022;PMC8919031.pdf;Healthy adults and People with Parkinson's disease;Others;No;Active electrodes;IMU;"1. Pre-processing using EEGLAB toolbox.
2. Low-pass filtering at 100 Hz to eliminate high-frequency DBS artifacts.
3. Down-sampling to 1,000 Hz.
4. High-pass filtering at 0.75 Hz to minimize slow drifts.
5. Replacing noisy channels using spherical spline interpolation.
6. Artifact Subspace Reconstruction (ASR) to detect short-lasting artifacts.
7. Re-referencing to a common average reference.
8. Independent Component Analysis (ICA) to decompose EEG signals.
9. Removing stereotypical artifacts based on temporal characteristics and scalp projection.
10. Surface Laplacian transformation to reduce movement artifacts and volume conduction.";['raw_data', 'lowpass_filter', 'downsample', 'highpass_filter', 'artifact_rejection', 're_reference', 'IC_decomposition', 'IC_rejection'];clean_rawdata, ASR
Rhythmic neural activity is comodulated with short-term gait modifications during first-time use of a dummy prosthesis: a pilot study;Kooiman, V.G.M., et al., 2020;PMC7542708.pdf;Healthy adults;Treadmill walking;No;Active electrodes;Force-based;"1. Notch filter (50 Hz) to remove line noise during acquisition.
2. Zero-phase high-pass FIR filter (1 Hz) and CleanLine plugin to reduce line noise harmonics (100 and 150 Hz) after acquisition.
3. Visual inspection and removal of noisy channels.
4. Re-referencing to the common average.
5. Artifact subspace reconstruction (ASR) to remove non-stationary large-amplitude artifacts.
6. Independent component analysis (ICA) to separate EEG into independent components.
7. Artifact removal by marking and removing epochs with high variance.
8. Recomputation of ICA to ensure components are based on artifact-reduced data.
9. Clustering of components using k-means algorithm based on anatomical location, PSD, scalp projection, and spectrogram.";['raw_data','notch_filter', 'highpass_filter','notch_filter', 'artifact_rejection', 'IC_decomposition', 'artifact_rejection', 'IC_decomposition', 'clustering'];ASR, manual_selection, bad_channel_removal
Unidirectional brain to muscle connectivity reveals motor cortex control of leg muscles during stereotyped walking;Artoni, F., et al., 2017;PMC6698582.pdf;Healthy adults;Treadmill walking;No;Active electrodes;"Force-based;EMG";"1. Time-align and merge EEG and EMG datasets.
2. Apply Artifact Subspace Rejection (ASR) and Independent Component Analysis (ICA).
3. Remove artifact ICs (muscle, ocular, other).
4. Epoch EEG and band-pass filter EMG time-locked to gait cycle.
5. Apply high-pass filter (1.0 Hz) and custom 50-Hz notch filter.
6. Visually inspect and remove high-amplitude artifacts and muscle noise.
7. Reapply ICA weights from Step I to Step II dataset.
8. Select only dipolar ICs (>82% variance).
9. Select stable ICs (quality index > 82%).
10. Categorize ICs as brain or non-brain based on dipole location and time-frequency characteristics.";['raw_data', 'artifact_rejection', 'IC_decomposition', 'epoching', 'bandpass_filter', 'highpass_filter', 'notch_filter', 'artifact_rejection', 'IC_rejection', 'clustering'];ASR, manual_selection, epoch_rejection
Cognitive load reduces the effects of optic flow on gait and electrocortical dynamics during treadmill walking;Malcolm, B. R., et al., 2018;PMC6295527.pdf;Healthy adults;Treadmill walking;No;Active electrodes;OMC;"1. High-pass filtering at 1 Hz with a zero-phase finite impulse response (FIR) filter.
2. Identification and removal of noisy channels by visual inspection and automatic detection.
3. Re-referencing remaining channels to a common average reference.
4. Manual visual inspection to reject sequences with large or non-stereotypical artifacts.
5. Extended ICA decomposition.
6. Coregistration of ICs with a standard MNI head model and fitting with equivalent current dipole models.
7. Rejection of ICs not located within the brain or not explaining significant variance.
8. Rejection of artifactual ICs based on visual inspection.
9. Clustering of retained ICs across participants using EEGLAB clustering routines.
10. Reduction of feature vectors using principal components analysis and clustering using a k-means algorithm.
11. Retention of clusters with ICs from at least half of the participants for further analysis.";['raw_data', 'highpass_filter', 'artifact_rejection', 're_reference', 'artifact_rejection', 'IC_decomposition', 'dipole_fitting', 'IC_rejection', 'artifact_rejection', 'clustering'];bad_channel_removal, manual_selection
Mobile Brain/Body Imaging (MoBI): High-density electrical mapping of inhibitory processes during walking;De Sanctis, P et al., 2012;PMID_23366197.pdf;Healthy adults;Treadmill walking;No;Active electrodes;OMC;"1. Bandpass filtering from 1 to 40Hz (24 dB/octave)
2. Automatic artifact rejection criterion of ±75 μV across all electrodes
3. Rejection of trials with more than six artifact channels
4. Epoch extraction for stimulus-locked ERPs (900ms with 100ms pre-stimulus baseline)
5. Epoch extraction for response-locked ERPs (800ms with 600ms pre-response baseline)";['raw_data', 'bandpass_filter', 'artifact_rejection', 'epoching'];automated_rejection, epoch_rejection
The effects of blurred visual inputs with different levels on the cerebral activity during free level walking;Ao, M., et al., 2023;PMC10149992.pdf;Healthy adults;Overground walking;No;Active electrodes;"Force-based;OMC";"1. Bandpass filtering from 0 to 100 Hz.
2. Segmentation and baseline correction of EEG epochs.
3. Independent Component Analysis (ICA) to eliminate artifacts.
4. Exclusion of epochs with amplitude >80 µV as artifacts.
5. Referencing signals to left and right mastoids.
6. Offline analysis using WinEEG software with a low-pass filter at 30 Hz.";['raw_data', 'bandpass_filter', 'epoching', 'baseline_correction', 'IC_decomposition', 'artifact_rejection', 're_reference', 'lowpass_filter'];epoch_rejection
Assessing Neurokinematic and Neuromuscular Connectivity During Walking Using Mobile Brain-Body Imaging;Zhao, M., et al., 2022;PMC9204106.pdf;Healthy adults;Treadmill walking;No;Not mentioned;"IMU; EMG";"1. Correct bad channels in the hdEEG data.
2. Digitally filter the data in the frequency band between 1 and 80 Hz.
3. Downsample the data to 200 Hz.
4. Apply a multi-step blind source separation approach:
   - Attenuate ocular artifacts using deflation-FastICA and remove components with maximum kurtosis above 12.
   - Attenuate movement artifacts using symmetric-FastICA and remove components with mean sample entropy below 0.8.
   - Attenuate myogenic artifacts using independent vector analysis and remove components with power in the [30-80 Hz] band larger than in the [1-30 Hz] band.
5. Re-reference the hdEEG signals using the average reference approach.";['raw_data', 'channel_removal', 'bandpass_filter', 'downsample', 'IC_decomposition', 'IC_rejection','artifact_rejection', 're_reference'];bad_channel_removal
Neural signature of mobility-related everyday function in older adults at-risk of cognitive impairment;De Sanctis, P., et al., 2023;PMC10281759.pdf;Healthy adults;Treadmill walking;No;Active electrodes;"Force-based;OMC";"1. Re-reference data to CPz.
2. High-pass filter at 2 Hz.
3. Concatenate data across blocks.
4. Apply automatic channel rejection procedure.
5. Visually inspect and exclude channels with artifacts.
6. Re-reference data to average reference.
7. Apply adaptive Independent Component Analysis (ICA).
8. Coregister ICs with a standard head model and fit with dipole models.
9. Retain ICs with dipoles within the brain and significant variance.
10. Reject ICs related to artifacts.";['raw_data', 're_reference', 'highpass_filter', 'artifact_rejection', 're_reference', 'IC_decomposition', 'dipole_fitting', 'IC_rejection'];automated_rejection, bad_channel_removal, manual_selection
Effects of Matched and Mismatched Visual Flow and Gait Speeds on Human Electrocortical Spectral Power;Cheng, Y.-P., et al., 2025;PMC12109666.pdf;Healthy adults;Treadmill walking;No;Active electrodes;"Force-based;OMC";"1. Apply 1 Hz high-pass filter and robust reference.
2. Perform sliding window spectral cleaning using principal component analysis (PCA).
3. Apply canonical correlation analysis (CCA) to remove electrical and muscle activity artifacts.
4. Concatenate data across conditions and reject remaining noisy channels.
5. Down-sample data to 256 Hz.
6. Apply Adaptive Mixture Independent Component Analysis (AMICA) using EEGLAB.
7. Reject components identified as non-brain signals (90% or higher chance).
8. Model remaining components as equivalent current dipoles using DIPFIT, retaining those with residual variance below 15%.
9. Separate continuous EEG data into experimental conditions and calculate mean power spectral density, removing aperiodic (1/f) noise.
10. Apply K-means clustering to evaluate condition comparisons, averaging independent components within subjects for each cluster.";['raw_data', 'highpass_filter', 're_reference', 'artifact_rejection', 'downsample', 'IC_decomposition', 'dipole_fitting', 'IC_rejection', 'clustering'];PCA, CCA, bad_channel_removal
Neural markers of proactive and reactive cognitive control are altered during walking: A Mobile Brain-Body Imaging (MoBI) study ☆;Richardson, D. P., et al., 2022;PMC8822329.pdf;Healthy adults;Treadmill walking;No;Active electrodes;OMC;"1. EEG data collection and digitization at 2048 Hz.
2. Visual inspection and removal of data from block intermissions.
3. Bandpass filtering (1-50 Hz) and removal of bad channels.
4. Down-sampling to 512 Hz.
5. Re-referencing to the average reference.
6. Adaptive mixture ICA.
7. Classification and exclusion of non-brain ICs.
8. Visual inspection of remaining ICs for quality.
9. Back-projection of ICs onto continuous data.
10. Extraction of target-locked epochs.
11. Rejection of trials based on amplitude and response criteria.";['raw_data','channel_removal', 'bandpass_filter', 'bad_channel_detection', 'artifact_rejection', 'downsample', 're_reference', 'IC_decomposition', 'IC_rejection', 'epoching', 'artifact_rejection'];manual_selection, bad_channel_removal, bad_channel_interpolation
Electrocortical activity distinguishes between uphill and level walking in humans;Bradford, J. C., et al., 2016;PMID_26683062.pdf;Healthy adults;Treadmill walking;No;Active electrodes;"Force-based;EMG";"1. Remove bad channels using statistical thresholds (range, SD, kurtosis).
2. Apply adaptive mixture independent component analysis (AMICA).
3. Model each IC as an equivalent current dipole using DIPFIT.
4. Remove ICs that do not meet criteria (less than 85% variance or indicative of artifacts).
5. Cluster ICs using k-means algorithm based on dipole location, scalp topography, and frequency spectra.
6. Compute log power spectra for each cluster to evaluate mean power differences.
7. Epoch data at each heel strike to produce discrete gait cycle trials.
8. Compute spectral power for each IC and time-lock spectrograms to gait events.
9. Time-warp spectrograms for consistency.
10. Subtract baseline to visualize spectral changes across the gait cycle.";['raw_data', 'artifact_rejection', 'IC_decomposition', 'dipole_fitting', 'IC_rejection', 'clustering', 'epoching', 'baseline_correction'];bad_channel_removal
Characterizing neurocognitive impairments in Parkinson's disease with mobile EEG when walking and stepping over obstacles;Mustile, M., et al., 2023;PMC10724048.pdf;Healthy adults and People with Parkinson's disease;Overground walking;No;Passive electrodes;OMC;"1. EEG data recording using 32 Ag/AgCl electrodes positioned according to the International 10-20 system.
2. Rejection of components exceeding a 90% probability of being eye, muscle, heart, line noise, and channel noise.
3. Retention of brain-independent components with dipoles inside the head and a residual variance less than 15%.
4. Segmentation of data into epochs around obstacle avoidance markers.
5. Visual inspection and manual removal of epochs contaminated by muscle artifacts.
6. Calculation of event-related spectral perturbations by comparing single-trial log spectrograms to a baseline spectrum.";['raw_data', 'IC_decomposition', 'IC_rejection', 'dipole_fitting', 'epoching', 'artifact_rejection'];manual_selection, epoch_rejection
Maintaining task performance levels under cognitive load while walking requires widespread reallocation of neural resources: A Mobile Brain-Body Imaging (MoBI) study;Patelaki, E., et al., 2024;PMC10842245.pdf;Healthy adults;Treadmill walking;No;Active electrodes;OMC;"1. Filter EEG signals using a zero-phase Chebyshev Type II filter.
2. Downsample from 2048 Hz to 512 Hz.
3. Identify and remove 'bad' electrodes based on kurtosis, probability, and spectrum analysis.
4. Interpolate removed electrodes using spherical interpolation.
5. Re-reference EEG data to a common average reference.
6. Apply 1-2 Hz highpass filter for ICA optimization.
7. Perform Infomax ICA on 1-45 Hz bandpass-filtered data.
8. Apply ICA matrices to 0.01-45 Hz bandpass-filtered data.
9. Label ICs using ICLabel algorithm and reject artifacts.
10. Back-project remaining ICs to sensor space.";['raw_data', 'notch_filter', 'downsample', 'artifact_rejection', 're_reference', 'bandpass_filter', 'IC_decomposition', 'bandpass_filter', 'IC_rejection'];bad_channel_removal, bad_channel_interpolation
